날짜,스트레스,집값
2016-07-14,13.00448,6.90582
2016-07-15,11.21076,5.56053
2016-07-16,11.21076,3.67713
2016-07-17,9.77578,4.21524
2016-07-18,13.81165,6.54708
2016-07-19,17.21973,6.90582
2016-07-20,13.36322,7.0852
2016-07-21,14.70852,5.73991
2016-07-22,12.91479,5.29147
2016-07-23,11.39013,4.75336
2016-07-24,8.43049,5.82959
2016-07-25,12.91479,7.0852
2016-07-26,11.83856,7.0852
2016-07-27,11.21076,9.14798
2016-07-28,11.65919,8.60986
2016-07-29,12.37668,6.00896
2016-07-30,7.89237,5.73991
2016-07-31,8.87892,5.56053
2016-08-01,12.10762,6.45739
2016-08-02,11.12107,8.78923
2016-08-03,13.00448,6.99551
2016-08-04,12.82511,6.63677
2016-08-05,10.76233,7.35426
2016-08-06,10.22421,5.02242
2016-08-07,8.3408,5.65022
2016-08-08,13.36322,6.45739
2016-08-09,14.1704,9.23766
2016-08-10,13.63228,7.17488
2016-08-11,13.00448,6.54708
2016-08-12,12.37668,5.65022
2016-08-13,9.23766,5.02242
2016-08-14,8.87892,5.65022
2016-08-15,9.41704,6.72645
2016-08-16,14.08071,6.63677
2016-08-17,13.90134,7.89237
2016-08-18,13.99103,7.17488
2016-08-19,15.06726,6.09865
2016-08-20,11.30044,6.99551
2016-08-21,9.86547,5.82959
2016-08-22,12.28699,5.56053
2016-08-23,15.96412,6.90582
2016-08-24,16.41255,6.36771
2016-08-25,12.82511,9.86547
2016-08-26,13.5426,13.63228
2016-08-27,11.5695,7.98206
2016-08-28,10.67264,6.90582
2016-08-29,13.90134,13.90134
2016-08-30,20.26905,19.55156
2016-08-31,25.20179,11.12107
2016-09-01,16.86098,9.50672
2016-09-02,18.38565,9.95515
2016-09-03,15.06726,8.52017
2016-09-04,14.08071,9.14798
2016-09-05,18.11659,10.76233
2016-09-06,17.48878,11.74887
2016-09-07,19.91031,10.67264
2016-09-08,18.47533,12.64573
2016-09-09,19.10313,12.37668
2016-09-10,10.76233,9.50672
2016-09-11,15.96412,8.07174
2016-09-12,16.05381,12.46636
2016-09-13,11.83856,8.25112
2016-09-14,10.13452,6.00896
2016-09-15,7.713,5.56053
2016-09-16,8.43049,6.27802
2016-09-17,12.37668,7.44394
2016-09-18,13.45291,8.87892
2016-09-19,14.70852,9.50672
2016-09-20,15.87443,7.713
2016-09-21,17.84753,7.53363
2016-09-22,16.41255,6.81614
2016-09-23,13.36322,5.82959
2016-09-24,15.15695,7.62331
2016-09-25,12.91479,6.90582
2016-09-26,15.78475,6.81614
2016-09-27,16.59192,9.05829
2016-09-28,14.34977,7.53363
2016-09-29,16.95067,8.16143
2016-09-30,16.41255,8.69955
2016-10-01,12.28699,7.44394
2016-10-02,11.39013,8.78923
2016-10-03,15.60538,13.45291
2016-10-04,18.11659,14.08071
2016-10-05,16.59192,11.30044
2016-10-06,14.1704,9.59641
2016-10-07,14.70852,11.47982
2016-10-08,11.30044,11.65919
2016-10-09,13.5426,11.5695
2016-10-10,12.73542,10.49327
2016-10-11,18.92376,11.65919
2016-10-12,17.13004,10.04484
2016-10-13,17.3991,9.68609
2016-10-14,13.5426,11.12107
2016-10-15,12.64573,11.5695
2016-10-16,12.37668,15.60538
2016-10-17,16.95067,19.01345
2016-10-18,17.48878,19.01345
2016-10-19,15.24663,19.01345
2016-10-20,17.30941,15.15695
2016-10-21,18.74439,11.21076
2016-10-22,12.46636,11.83856
2016-10-23,14.08071,15.33632
2016-10-24,16.05381,13.72197
2016-10-25,16.86098,12.64573
2016-10-26,21.2556,12.91479
2016-10-27,15.15695,11.92825
2016-10-28,13.27354,10.9417
2016-10-29,10.04484,11.12107
2016-10-30,10.49327,12.01793
2016-10-31,13.45291,11.74887
2016-11-01,16.05381,12.1973
2016-11-02,13.72197,16.86098
2016-11-03,15.60538,18.6547
2016-11-04,12.46636,12.91479
2016-11-05,10.58295,9.68609
2016-11-06,11.21076,9.32735
2016-11-07,16.86098,10.58295
2016-11-08,16.32286,13.5426
2016-11-09,15.87443,19.28251
2016-11-10,15.69506,12.28699
2016-11-11,11.92825,11.03139
2016-11-12,12.1973,8.16143
2016-11-13,12.64573,11.21076
2016-11-14,17.93721,16.23318
2016-11-15,13.72197,11.03139
2016-11-16,15.60538,12.82511
2016-11-17,14.1704,12.73542
2016-11-18,13.36322,9.68609
2016-11-19,10.9417,11.74887
2016-11-20,9.68609,8.69955
2016-11-21,12.91479,11.92825
2016-11-22,13.09417,12.01793
2016-11-23,13.99103,8.69955
2016-11-24,14.52914,12.01793
2016-11-25,11.74887,12.28699
2016-11-26,11.39013,9.05829
2016-11-27,9.86547,11.83856
2016-11-28,12.1973,13.00448
2016-11-29,16.14349,10.49327
2016-11-30,15.87443,13.90134
2016-12-01,14.1704,10.04484
2016-12-02,13.72197,10.3139
2016-12-03,10.22421,9.50672
2016-12-04,12.55605,11.92825
2016-12-05,13.5426,11.5695
2016-12-06,12.91479,11.39013
2016-12-07,13.00448,10.13452
2016-12-08,13.99103,10.13452
2016-12-09,10.3139,9.41704
2016-12-10,9.77578,7.98206
2016-12-11,11.03139,10.04484
2016-12-12,15.33632,10.49327
2016-12-13,13.63228,17.3991
2016-12-14,13.09417,10.49327
2016-12-15,10.9417,13.99103
2016-12-16,10.58295,12.10762
2016-12-17,10.04484,9.77578
2016-12-18,11.12107,11.92825
2016-12-19,13.63228,15.426
2016-12-20,13.09417,12.1973
2016-12-21,10.85201,10.9417
2016-12-22,11.83856,10.04484
2016-12-23,10.13452,9.50672
2016-12-24,5.29147,6.54708
2016-12-25,6.45739,8.9686
2016-12-26,9.95515,9.77578
2016-12-27,13.09417,12.01793
2016-12-28,12.91479,13.27354
2016-12-29,11.83856,15.24663
2016-12-30,10.04484,9.05829
2016-12-31,6.81614,5.38116
2017-01-01,8.07174,7.80269
2017-01-02,11.65919,11.21076
2017-01-03,10.76233,14.97757
2017-01-04,13.81165,12.91479
2017-01-05,11.65919,8.9686
2017-01-06,13.5426,8.52017
2017-01-07,12.01793,7.53363
2017-01-08,10.3139,13.81165
2017-01-09,13.81165,11.03139
2017-01-10,13.18385,9.05829
2017-01-11,12.37668,10.40358
2017-01-12,13.18385,11.74887
2017-01-13,14.1704,13.81165
2017-01-14,9.05829,6.81614
2017-01-15,9.86547,8.9686
2017-01-16,12.46636,11.5695
2017-01-17,15.33632,12.1973
2017-01-18,15.06726,9.95515
2017-01-19,13.18385,10.40358
2017-01-20,11.12107,11.39013
2017-01-21,8.69955,7.26457
2017-01-22,9.59641,10.13452
2017-01-23,13.18385,11.74887
2017-01-24,13.5426,12.91479
2017-01-25,12.46636,10.40358
2017-01-26,11.47982,9.77578
2017-01-27,7.713,4.57399
2017-01-28,7.26457,4.66367
2017-01-29,7.44394,7.89237
2017-01-30,11.03139,9.95515
2017-01-31,14.97757,13.63228
2017-02-01,13.5426,11.12107
2017-02-02,15.60538,10.58295
2017-02-03,13.90134,9.59641
2017-02-04,10.76233,8.07174
2017-02-05,12.64573,11.03139
2017-02-06,13.18385,14.88789
2017-02-07,14.26008,13.36322
2017-02-08,15.60538,11.03139
2017-02-09,13.18385,14.1704
2017-02-10,13.18385,9.41704
2017-02-11,9.50672,9.95515
2017-02-12,11.5695,10.04484
2017-02-13,14.97757,12.55605
2017-02-14,13.72197,11.30044
2017-02-15,15.33632,7.53363
2017-02-16,17.21973,11.03139
2017-02-17,14.70852,8.78923
2017-02-18,9.41704,6.72645
2017-02-19,11.74887,7.80269
2017-02-20,16.14349,9.32735
2017-02-21,12.10762,7.89237
2017-02-22,12.64573,10.85201
2017-02-23,13.63228,8.60986
2017-02-24,16.23318,9.23766
2017-02-25,11.5695,5.47085
2017-02-26,10.67264,7.53363
2017-02-27,11.65919,10.9417
2017-02-28,13.27354,7.98206
2017-03-01,10.13452,7.62331
2017-03-02,13.90134,7.80269
2017-03-03,15.33632,9.32735
2017-03-04,15.87443,7.89237
2017-03-05,11.03139,7.0852
2017-03-06,15.51569,6.99551
2017-03-07,13.36322,7.17488
2017-03-08,15.426,8.25112
2017-03-09,18.38565,6.99551
2017-03-10,12.10762,10.49327
2017-03-11,14.61883,6.18834
2017-03-12,12.73542,7.89237
2017-03-13,16.14349,8.52017
2017-03-14,14.7982,7.53363
2017-03-15,15.33632,8.07174
2017-03-16,14.7982,8.16143
2017-03-17,12.55605,9.05829
2017-03-18,11.21076,5.82959
2017-03-19,11.21076,7.89237
2017-03-20,15.51569,8.43049
2017-03-21,15.426,7.98206
2017-03-22,17.75784,7.53363
2017-03-23,17.84753,6.63677
2017-03-24,15.06726,8.25112
2017-03-25,9.68609,5.02242
2017-03-26,16.68161,7.0852
2017-03-27,15.87443,7.0852
2017-03-28,16.14349,8.69955
2017-03-29,17.84753,7.0852
2017-03-30,18.83408,7.17488
2017-03-31,15.78475,6.81614
2017-04-01,8.9686,5.29147
2017-04-02,13.18385,5.47085
2017-04-03,16.41255,7.35426
2017-04-04,17.75784,5.38116
2017-04-05,15.51569,6.81614
2017-04-06,16.23318,5.91928
2017-04-07,15.87443,6.00896
2017-04-08,10.58295,5.73991
2017-04-09,13.36322,6.18834
2017-04-10,16.32286,6.27802
2017-04-11,18.74439,6.63677
2017-04-12,15.426,6.09865
2017-04-13,16.23318,6.09865
2017-04-14,13.45291,8.3408
2017-04-15,10.3139,6.18834
2017-04-16,10.58295,7.35426
2017-04-17,16.05381,5.73991
2017-04-18,17.75784,6.09865
2017-04-19,17.66816,6.63677
2017-04-20,17.48878,7.17488
2017-04-21,12.37668,5.20179
2017-04-22,14.43946,4.30493
2017-04-23,12.46636,5.29147
2017-04-24,16.86098,6.36771
2017-04-25,16.68161,7.44394
2017-04-26,15.87443,5.65022
2017-04-27,14.97757,7.80269
2017-04-28,14.61883,4.30493
2017-04-29,10.13452,4.4843
2017-04-30,10.04484,7.53363
2017-05-01,14.26008,5.47085
2017-05-02,13.90134,9.05829
2017-05-03,8.69955,7.17488
2017-05-04,11.47982,7.713
2017-05-05,9.77578,6.09865
2017-05-06,9.86547,6.09865
2017-05-07,11.83856,5.29147
2017-05-08,12.82511,7.35426
2017-05-09,11.74887,9.14798
2017-05-10,15.33632,13.72197
2017-05-11,14.43946,12.28699
2017-05-12,12.73542,9.14798
2017-05-13,10.9417,7.44394
2017-05-14,12.73542,6.99551
2017-05-15,17.04035,9.23766
2017-05-16,17.21973,10.9417
2017-05-17,15.51569,9.05829
2017-05-18,18.11659,9.86547
2017-05-19,13.5426,12.10762
2017-05-20,12.73542,6.45739
2017-05-21,10.9417,7.89237
2017-05-22,18.83408,12.1973
2017-05-23,13.18385,11.83856
2017-05-24,16.95067,11.39013
2017-05-25,16.59192,17.04035
2017-05-26,14.26008,13.63228
2017-05-27,11.74887,13.99103
2017-05-28,14.43946,17.66816
2017-05-29,18.11659,21.52466
2017-05-30,16.59192,20.71748
2017-05-31,16.68161,14.34977
2017-06-01,16.68161,18.83408
2017-06-02,17.04035,16.41255
2017-06-03,11.39013,19.01345
2017-06-04,13.09417,14.61883
2017-06-05,13.00448,26.90582
2017-06-06,13.36322,25.91928
2017-06-07,18.11659,29.23766
2017-06-08,17.57847,25.82959
2017-06-09,17.3991,19.55156
2017-06-10,12.55605,14.97757
2017-06-11,13.99103,15.96412
2017-06-12,18.38565,23.31838
2017-06-13,16.50224,16.05381
2017-06-14,18.29596,19.46188
2017-06-15,19.64125,19.19282
2017-06-16,15.15695,14.70852
2017-06-17,12.37668,11.21076
2017-06-18,12.73542,15.78475
2017-06-19,17.48878,19.64125
2017-06-20,19.01345,16.59192
2017-06-21,18.38565,12.28699
2017-06-22,17.57847,14.43946
2017-06-23,13.18385,14.1704
2017-06-24,12.1973,11.74887
2017-06-25,11.12107,12.37668
2017-06-26,13.90134,13.18385
2017-06-27,17.04035,16.50224
2017-06-28,17.75784,13.63228
2017-06-29,16.68161,14.1704
2017-06-30,15.33632,12.01793
2017-07-01,11.92825,10.22421
2017-07-02,10.58295,12.73542
2017-07-03,14.1704,14.34977
2017-07-04,16.86098,14.1704
2017-07-05,13.09417,10.04484
2017-07-06,16.59192,12.28699
2017-07-07,15.87443,10.40358
2017-07-08,10.85201,10.85201
2017-07-09,11.83856,13.00448
2017-07-10,14.52914,21.52466
2017-07-11,16.05381,12.82511
2017-07-12,14.70852,13.90134
2017-07-13,14.34977,11.21076
2017-07-14,15.24663,12.64573
2017-07-15,11.65919,11.30044
2017-07-16,10.76233,13.09417
2017-07-17,16.14349,12.46636
2017-07-18,16.7713,13.27354
2017-07-19,13.99103,16.14349
2017-07-20,15.33632,19.19282
2017-07-21,14.52914,15.87443
2017-07-22,10.76233,14.1704
2017-07-23,8.69955,14.7982
2017-07-24,15.87443,15.06726
2017-07-25,15.15695,14.97757
2017-07-26,12.82511,16.7713
2017-07-27,16.59192,16.23318
2017-07-28,13.18385,19.01345
2017-07-29,7.713,12.73542
2017-07-30,7.62331,11.83856
2017-07-31,16.23318,16.59192
2017-08-01,13.72197,13.63228
2017-08-02,13.5426,21.07623
2017-08-03,11.65919,26.00896
2017-08-04,13.18385,19.10313
2017-08-05,10.40358,16.05381
2017-08-06,9.14798,12.73542
2017-08-07,12.01793,18.6547
2017-08-08,13.81165,16.50224
2017-08-09,15.60538,15.51569
2017-08-10,14.43946,15.69506
2017-08-11,12.55605,15.69506
2017-08-12,10.9417,10.85201
2017-08-13,11.83856,11.5695
2017-08-14,13.63228,14.70852
2017-08-15,11.12107,15.60538
2017-08-16,13.63228,15.60538
2017-08-17,13.18385,20.6278
2017-08-18,14.26008,16.23318
2017-08-19,11.83856,12.55605
2017-08-20,11.5695,15.06726
2017-08-21,16.32286,13.00448
2017-08-22,15.06726,15.69506
2017-08-23,16.05381,17.04035
2017-08-24,12.91479,15.24663
2017-08-25,15.24663,18.56502
2017-08-26,10.22421,13.72197
2017-08-27,10.22421,10.40358
2017-08-28,15.24663,14.7982
2017-08-29,12.55605,11.74887
2017-08-30,14.34977,9.77578
